time,open,high,close,low,Volume
01/12/2009,3.55,3.6,3.55,3.5,2430000
1/13/2009,3.55,3.6,3.5,3.5,1680000
1/14/2009,3.5,3.6,3.5,3.5,2660000
1/15/2009,3.5,3.6,3.5,3.45,4120000
1/16/2009,3.5,3.5,3.4,3.3,7690000
1/19/2009,3.4,3.4,3.35,3.3,2770000
1/20/2009,3.35,3.35,3.25,3.2,5280000
1/29/2009,3.25,3.25,3.1,3,4790000
1/22/2009,3.1,3.15,3.05,3,4380000
1/23/2009,3.05,3.25,3.1,3.1,7060000
1/26/2009,3.1,3.25,3.1,3.1,5610000
1/27/2009,3.1,3.25,3.2,3.15,14120000
1/28/2009,3.2,3.3,3.2,3.15,3290000
1/29/2009,3.2,3.25,3.2,3.15,3850000
1/30/2009,3.2,3.25,3.15,3.15,1340000
02/02/2009,3.15,3.2,3.1,3.1,4010000
02/03/2009,3.1,3.2,3.1,3,4230000
04/02/2009,3.1,3.25,3.1,3.1,6250000
02/05/2009,3.1,3.2,3.1,3.1,9510000
02/06/2009,3.1,3.25,3.1,3.1,1970000
02/09/2009,3.1,3.2,3.1,3.1,2010000
02/10/2009,3.1,3.3,3.15,3.1,3580000
02/11/2009,3.15,3.25,3.15,3.1,3990000
02/12/2009,3.15,3.3,3.15,3,7800000
2/13/2009,3.15,3.15,3.1,3.1,2440000
2/16/2009,3.1,3.15,3.1,3.05,3220000
2/17/2009,3.1,3.15,3.1,3,1780000
2/18/2009,3.1,3.1,3,3,5410000
2/19/2009,3,3.1,3,2.95,5110000
2/20/2009,3,3.1,3,2.95,2480000
2/23/2009,3,3.1,2.9,2.8,3660000
2/24/2009,2.9,2.9,2.8,2.7,4010000
2/25/2009,2.8,2.8,2.7,2.65,4650000
2/26/2009,2.7,2.7,2.6,2.5,3450000
2/27/2009,2.6,2.7,2.55,2.5,5210000
03/02/2009,2.55,2.7,2.6,2.55,9310000
03/03/2009,2.6,2.7,2.65,2.6,6580000
03/04/2009,2.65,2.7,2.6,2.6,7870000
03/05/2009,2.6,2.75,2.65,2.65,2100000
03/06/2009,2.65,2.75,2.65,2.65,10380000
03/09/2009,2.65,2.9,2.7,2.7,4170000
03/10/2009,2.7,2.8,2.7,2.7,2450000
03/11/2009,2.7,2.9,2.75,2.6,882100
03/12/2009,2.75,3,2.85,2.8,5820000
3/13/2009,2.85,3.1,2.95,2.9,6310000
3/16/2009,2.95,3.05,2.95,2.7,4350000
3/17/2009,2.95,3.15,3,3,3650000
3/18/2009,3,3.25,3.1,3,1830000
3/19/2009,3.1,3.3,3.05,3.05,5410000
3/20/2009,3.05,3.2,3.1,3.05,2310000
3/23/2009,3.1,3.15,3.05,3,2670000
3/24/2009,3.05,3.15,3.05,2.95,3510000
3/25/2009,3.05,3.1,3.05,2.95,16830000
3/26/2009,3.05,3.1,3.05,3,1540000
3/27/2009,3.05,3.2,3.1,3.05,5160000
3/30/2009,3.1,3.15,3.05,3.05,5070000
3/31/2009,3.05,3.1,3,2.9,8380000
04/01/2009,3,3,2.95,2.9,1780000
04/02/2009,2.95,3,2.9,2.8,5770000
04/03/2009,2.9,2.95,2.9,2.85,1340000
04/06/2009,2.9,3,2.9,2.85,1440000
04/07/2009,2.9,3,2.8,2.75,5460000
04/08/2009,2.8,2.9,2.8,2.6,3210000
04/09/2009,2.8,2.9,2.85,2.75,2290000
4/14/2009,2.85,2.9,2.85,2.8,2260000
4/15/2009,2.85,2.9,2.8,2.75,2930000
4/16/2009,2.8,2.85,2.75,2.75,8450000
4/17/2009,2.75,2.85,2.75,2.75,8650000
4/20/2009,2.75,2.9,2.8,2.75,11220000
4/21/2009,2.8,2.95,2.85,2.8,10870000
4/22/2009,2.85,2.9,2.8,2.8,3600000
4/23/2009,2.8,2.85,2.8,2.8,12100000
4/24/2009,2.8,2.85,2.75,2.65,8670000
4/27/2009,2.75,2.8,2.75,2.7,5280000
4/28/2009,2.75,2.85,2.75,2.7,4370000
