,time,open,high,close,low,Volume,log returns,simple returns,absolute log return,30 moving average,21-day rolling volatility
99,2008-10-29,3.25,3.4,3.1,3.0,9350000,-0.0472528848505455,-0.0461538461538461,0.0472528848505455,0.024996868115152986,0.03699974024437872
100,2008-10-30,3.1,3.25,3.1,3.05,12070000,0.0,0.0,0.0,0.024343252402207104,0.03699974024437872
101,2008-10-31,3.1,3.4,3.35,3.2,23910000,0.07755823434587444,0.08064516129032251,0.07755823434587444,0.025236116034622145,0.04275817309408503
102,2008-11-03,3.35,3.7,3.55,3.4,11070000,0.057987257650349316,0.05970149253731338,0.057987257650349316,0.027169024622967122,0.04590057520334998
103,2008-11-04,3.55,3.9,3.85,3.8,12250000,0.08112554481236853,0.08450704225352124,0.08112554481236853,0.029185899876621544,0.0505077462820228
104,2008-11-05,3.85,4.2,4.15,4.0,23110000,0.0750351859429141,0.07792207792207795,0.0750351859429141,0.031687072741385346,0.053886107162027165
105,2008-11-07,4.15,4.3,4.0,3.8,22940000,-0.036813973122716434,-0.03614457831325313,0.036813973122716434,0.032575792796675294,0.05427788389066068
106,2008-11-10,4.0,4.4,4.2,4.05,8650000,0.04879016416943205,0.050000000000000044,0.04879016416943205,0.03420213160232303,0.0545704278393993
107,2008-11-11,4.2,4.5,4.25,4.05,21870000,0.011834457647002798,0.011904761904761862,0.011834457647002798,0.03459661352388979,0.04935274832189761
108,2008-11-12,4.25,4.3,3.85,3.65,13830000,-0.0988458346366326,-0.09411764705882353,0.0988458346366326,0.03789147467844421,0.05017495962023133
109,2008-11-13,3.85,3.9,3.8,3.55,4370000,-0.013072081567352888,-0.012987012987013102,0.013072081567352888,0.03832721073068931,0.048088635850489836
110,2008-11-14,3.8,4.0,3.8,3.8,12620000,0.0,0.0,0.0,0.03832721073068931,0.047978223422068506
111,2008-11-17,3.8,3.95,3.85,3.75,6030000,0.013072081567352921,0.013157894736842257,0.013072081567352921,0.03842453440080048,0.04798849436773278
112,2008-11-18,3.85,3.9,3.8,3.7,13170000,-0.013072081567352888,-0.012987012987013102,0.013072081567352888,0.03851838711413926,0.047777864495673415
113,2008-11-19,3.8,3.8,3.65,3.5,7060000,-0.04027389913793996,-0.03947368421052633,0.04027389913793996,0.03951542418421904,0.04846471080038367
114,2008-11-20,3.65,3.85,3.6,3.5,7690000,-0.01379332213233576,-0.013698630136986245,0.01379332213233576,0.03962615825972039,0.04720630689821263
115,2008-11-21,3.6,3.7,3.65,3.5,15730000,0.01379332213233577,0.01388888888888884,0.01379332213233577,0.038283694955122384,0.04692278133843101
116,2008-11-24,3.65,3.7,3.6,3.55,8250000,-0.01379332213233576,-0.013698630136986245,0.01379332213233576,0.03523145517093937,0.047028854814388475
117,2008-11-25,3.6,3.8,3.7,3.6,4640000,0.02739897418811456,0.0277777777777779,0.02739897418811456,0.033131952261600886,0.04633604934125238
118,2008-11-26,3.7,3.9,3.75,3.65,5560000,0.01342302033214055,0.013513513513513375,0.01342302033214055,0.03139996096391052,0.046197158323934104
119,2008-11-27,3.75,3.8,3.75,3.6,1670000,0.0,0.0,0.0,0.030980668223681847,0.04479381083206395
120,2008-11-28,3.75,3.8,3.65,3.55,7090000,-0.027028672387919374,-0.026666666666666727,0.027028672387919374,0.03146753996999393,0.043779171958919734
121,2008-12-01,3.65,3.7,3.55,3.5,2280000,-0.027779564107075706,-0.0273972602739726,0.027779564107075706,0.03156014870004921,0.04444062272622737
122,2008-12-02,3.55,3.55,3.35,3.2,6240000,-0.05798725765034928,-0.05633802816901401,0.05798725765034928,0.03306842309581319,0.043428968489841
123,2008-12-03,3.35,3.4,3.35,3.25,1130000,0.0,0.0,0.0,0.03131363197963246,0.041351459426732545
124,2008-12-04,3.35,3.4,3.2,3.2,5250000,-0.04580953603129422,-0.04477611940298509,0.04580953603129422,0.031927317374405115,0.03758174406020025
125,2008-12-05,3.2,3.4,3.3,3.2,4480000,0.030771658666753472,0.031249999999999778,0.030771658666753472,0.03295303932996357,0.03368346306776984
